hierarquia,topico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,porcentagem_encontrada_num,porcentagem_caderno_num,nivel_hierarquia
03.04.03,Mandado de Injunção,47,0.04%,47,0.04%,0.04,0.04,3
03.04.04,Habeas Data,48,0.04%,48,0.04%,0.04,0.04,3
03.04.05,Ação Popular,65,0.06%,65,0.06%,0.06,0.06,3
03.04.06,Questões Mescladas de Remédios Constitucionais,34,0.03%,34,0.03%,0.03,0.03,3
03.05,Dos Direitos Sociais (arts. 6º a 11 da CF/1988),321,0.28%,321,0.28%,0.28,0.28,2
03.05,Figuras de Linguagem (Figures of Speech),5,0.00%,5,0.00%,0.0,0.0,2
03.05,"Atos Administrativos: Espécies, Classificação, Fases de Constituição",432,0.37%,432,0.37%,0.37,0.37,2
03.05,"Deliberações, Jurisprudência, Sessões e Processo em Geral (TCU)",28,0.02%,28,0.02%,0.02,0.02,2
03.05.01,Direitos Sociais e dos Trabalhadores (arts. 6º e 7º da CF/1988),250,0.22%,250,0.22%,0.22,0.22,3
03.05.02,Direitos Coletivos dos Trabalhadores (arts. 8º a 11 da CF/1988),71,0.06%,71,0.06%,0.06,0.06,3
03.06,Tomada e Prestação de Contas. Tomada de Contas Especial. Relatório de Gestão (LO e RI do TCU),135,0.12%,135,0.12%,0.12,0.12,2
03.06,Da Nacionalidade (arts. 12 e 13 da CF/1988),300,0.26%,300,0.26%,0.26,0.26,2
03.06,Tradução (Translation),47,0.04%,47,0.04%,0.04,0.04,2
03.06,"Desfazimento do Ato Administrativo (Anulação, Revogação, Cassação, Caducidade, Contraposição)",407,0.35%,407,0.35%,0.35,0.35,2
03.06.01,Espécies de Nacionalidade (Brasileiros Natos e Naturalizados),124,0.11%,124,0.11%,0.11,0.11,3
03.06.02,Distinções Constitucionais entre Brasileiros Natos e Naturalizados,80,0.07%,80,0.07%,0.07,0.07,3
03.06.03,Perda da Nacionalidade,40,0.03%,40,0.03%,0.03,0.03,3
03.06.04,"Extradição, Deportação, Expulsão e Banimento (da Nacionalidade)",51,0.04%,51,0.04%,0.04,0.04,3
03.06.05,Dos Símbolos e Idioma da República (art. 13 da CF/1988),5,0.00%,5,0.00%,0.0,0.0,3
03.07,Atividade de Registro (TCU),27,0.02%,27,0.02%,0.02,0.02,2
03.07,Convalidação e Conversão dos Atos Administrativos,89,0.08%,89,0.08%,0.08,0.08,2
03.07,Direitos Políticos (arts. 14 a 16 da CF/1988),369,0.32%,369,0.32%,0.32,0.32,2
03.07.01,"Soberania Popular (Voto, Plebiscito, Referendo, Iniciativa popular), Alistamento e Elegibilidade",205,0.18%,205,0.18%,0.18,0.18,3
03.07.02,Inelegibilidades (Direitos Políticos),91,0.08%,91,0.08%,0.08,0.08,3
03.07.03,Perda e Suspensão dos Direitos Políticos,73,0.06%,73,0.06%,0.06,0.06,3
03.08,Fiscalização e Auditorias (TCU),33,0.03%,33,0.03%,0.03,0.03,2
03.08,Teoria dos Motivos Determinantes,51,0.04%,51,0.04%,0.04,0.04,2
03.08,Partidos Políticos (art. 17 da CF/1988),84,0.07%,84,0.07%,0.07,0.07,2
03.09,"Representações, Denúncias e Consultas (LO e RI TCU)",10,0.01%,10,0.01%,0.01,0.01,2
03.09,Tópicos Mesclados de Atos Administrativos,36,0.03%,36,0.03%,0.03,0.03,2
03.10,Sanções (TCU),20,0.02%,20,0.02%,0.02,0.02,2
03.11,Medidas Cautelares (TCU),6,0.01%,6,0.01%,0.01,0.01,2
04,Tipologia e Gênero Textual (Inglês),29,0.02%,29,0.02%,0.02,0.02,1
04,Poderes e Deveres da Administração,1018,0.88%,1018,0.88%,0.88,0.88,1
04,"Governabilidade, Governança e Intermediação de Interesses",409,0.35%,409,0.35%,0.35,0.35,1
04,Da Organização do Estado (arts. 18 a 43 da CF/1988),2081,1.79%,2081,1.79%,1.79,1.79,1
04,Colocação Pronominal,191,0.16%,191,0.16%,0.16,0.16,1
04,Suítes de Escritório,3027,2.60%,3027,2.60%,2.6,2.6,1
04.01,Poder Vinculado e Discricionário,57,0.05%,57,0.05%,0.05,0.05,2
04.01,Governabilidade,30,0.03%,30,0.03%,0.03,0.03,2
04.01,Da Organização Político-Administrativa (arts. 18 e 19 da CF/1988),177,0.15%,177,0.15%,0.15,0.15,2
04.01,Microsoft Office,2671,2.30%,2671,2.30%,2.3,2.3,2
04.01.01,Word,1406,1.21%,1406,1.21%,1.21,1.21,3
04.01.01.01,Word 2003 e Versões Anteriores,1051,0.90%,1051,0.90%,0.9,0.9,4
04.01.01.02,Word 2007,80,0.07%,80,0.07%,0.07,0.07,4
04.01.01.03,Word 2010,111,0.10%,111,0.10%,0.1,0.1,4
04.01.01.04,Word 2013,46,0.04%,46,0.04%,0.04,0.04,4
04.01.01.05,Word 2016,23,0.02%,23,0.02%,0.02,0.02,4
04.01.01.06,Word 2019,95,0.08%,95,0.08%,0.08,0.08,4
04.01.02,Excel,979,0.84%,979,0.84%,0.84,0.84,3
04.01.02.01,Excel 2003 e Versões Anteriores,633,0.54%,633,0.54%,0.54,0.54,4
04.01.02.02,Excel 2007,68,0.06%,68,0.06%,0.06,0.06,4
04.01.02.03,Excel 2010,120,0.10%,120,0.10%,0.1,0.1,4
04.01.02.04,Excel 2013,42,0.04%,42,0.04%,0.04,0.04,4
04.01.02.05,Excel 2016,25,0.02%,25,0.02%,0.02,0.02,4
04.01.02.06,Excel 2019,91,0.08%,91,0.08%,0.08,0.08,4
04.01.03,Powerpoint,192,0.17%,192,0.17%,0.17,0.17,3
04.01.03.01,Powerpoint 2003 e Versões Anteriores,82,0.07%,82,0.07%,0.07,0.07,4
04.01.03.02,Powerpoint 2007,28,0.02%,28,0.02%,0.02,0.02,4
04.01.03.03,Powerpoint 2010,33,0.03%,33,0.03%,0.03,0.03,4
04.01.03.04,Powerpoint 2013,17,0.01%,17,0.01%,0.01,0.01,4
04.01.03.05,Powerpoint 2016,5,0.00%,5,0.00%,0.0,0.0,4
04.01.03.06,Powerpoint 2019,27,0.02%,27,0.02%,0.02,0.02,4
04.01.04,Access,12,0.01%,12,0.01%,0.01,0.01,3
04.01.04.01,Access 2003 e Versões Anteriores,12,0.01%,12,0.01%,0.01,0.01,4
04.01.05,Questões Mescladas de Microsoft Office,82,0.07%,82,0.07%,0.07,0.07,3
04.02,"União: Bens e Competências Exclusivas, Privativas, Comuns e Concorrentes (arts. 20 a 24 da CF/1988)",507,0.44%,507,0.44%,0.44,0.44,2
04.02,BrOffice / LibreOffice,325,0.28%,325,0.28%,0.28,0.28,2
04.02,Poder Regulamentar,102,0.09%,102,0.09%,0.09,0.09,2
04.02,Governança Corporativa,228,0.20%,228,0.20%,0.2,0.2,2
04.02.01,Writer,144,0.12%,144,0.12%,0.12,0.12,3
04.02.02,Calc,84,0.07%,84,0.07%,0.07,0.07,3
04.02.03,Impress,36,0.03%,36,0.03%,0.03,0.03,3
04.02.04,Questões Mescladas de Libre Office,61,0.05%,61,0.05%,0.05,0.05,3
04.03,Governança Pública,124,0.11%,124,0.11%,0.11,0.11,2
04.03,"Estados Federados - Organização, Competências, Bens (arts. 25 a 28 da CF/1988)",135,0.12%,135,0.12%,0.12,0.12,2
04.03,Questões Mescladas de Suítes de Escritório,31,0.03%,31,0.03%,0.03,0.03,2
04.03,Poder Hierárquico,125,0.11%,125,0.11%,0.11,0.11,2
04.04,Municípios - Organização e Competências (arts. 29 a 31 da CF/1988),209,0.18%,209,0.18%,0.18,0.18,2
04.04,Intermediação de Interesses,13,0.01%,13,0.01%,0.01,0.01,2
04.04,Poder Disciplinar,125,0.11%,125,0.11%,0.11,0.11,2
04.05,Do Distrito Federal e dos Territórios (arts. 32 e 33 da CF/1988),85,0.07%,85,0.07%,0.07,0.07,2
04.05,Poder de Polícia,367,0.32%,367,0.32%,0.32,0.32,2
04.05,Decreto nº 9.203/2017 - Política de Governança da Administração Pública Federal,5,0.00%,5,0.00%,0.0,0.0,2
04.06,Abuso de Poder: Excesso de Poder e Desvio de Finalidade (Poderes da Administração),135,0.12%,135,0.12%,0.12,0.12,2
04.06,Intervenção Federal e Estadual (arts. 34 a 36 da CF/1988),170,0.15%,170,0.15%,0.15,0.15,2
04.06,Decreto nº 10.160/2019 - Governo Aberto,9,0.01%,9,0.01%,0.01,0.01,2
04.07,Administração Pública (arts. 37 a 43 da CF/1988),756,0.65%,756,0.65%,0.65,0.65,2
04.07,Deveres da Administração,18,0.02%,18,0.02%,0.02,0.02,2
04.07.01,Disposições Gerais (Administração Pública - arts. 37 e 38 da CF/1988),520,0.45%,520,0.45%,0.45,0.45,3
04.07.02,Dos Servidores Públicos (arts. 39 a 41 da CF/1988),214,0.18%,214,0.18%,0.18,0.18,3
04.07.03,"Dos Militares dos Estados, do Distrito Federal e dos Territórios (art. 42 da CF/1988)",19,0.02%,19,0.02%,0.02,0.02,3
04.07.04,"Das Regiões (Administração Pública, art. 43 da CF/1988)",3,0.00%,3,0.00%,0.0,0.0,3
04.08,Questões Mescladas de Organização do Estado (arts. 18 a 43 da CF/1988),42,0.04%,42,0.04%,0.04,0.04,2
04.08,Tópicos Mesclados de Poderes da Administração,89,0.08%,89,0.08%,0.08,0.08,2
05,Accountability e Transparência,119,0.10%,119,0.10%,0.1,0.1,1
05,Da Organização dos Poderes (arts. 44 a 135 da CF/1988),3517,3.03%,3517,3.03%,3.03,3.03,1
